#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg,"xorg."
,libx11-dev,"is required for the compilation of some programs."
,libxft-dev,"is required for the compilation of some programs."
,libwebkit2gtk-4.0-37,"is the backend for the browser."
,libwebkit2gtk-4.0-dev,"is required for the compilation of some programs."
,gcr,"is required for the compilation of some programs."
,fontconfig,"is required for the compilation of some programs."
,x11-utils,"allows querying information about windows."
,fonts-inconsolata,"is the monospace font of LARBS."
,fonts-linuxlibertine,"provides the sans and serif fonts for LARBS."
,fonts-font-awesome,"provides special characters used in the status bar and elsewhere."
,ranger,"is an extensive terminal file manager that everyone likes."
,arandr,"is a UI for screen adjustment."
,xcompmgr,"is for transparency and removing screen-tearing."
,xprop,"is a tool for detecting window properties."
,libnotify,"allows desktop notifications."
,dbus,"facilitates inter-process communication."
,dunst,"is a suckless notification system."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,neovim,"an tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,fonts-noto-color-emoji,"is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere."
,fonts-symbola,"provides unicode and emoji symbols."
,alsa-utils,"is a package of audio utilities."
,scim,"is an Excel-like terminal spreadsheet manager."
,htop,"provides system usage information and displays processes."
,maim,"can take quick screenshots at your request."
,socat,"is a socket utility."
,unclutter,"hides an inactive mouse."
,unrar-free,"extracts rar's."
,unzip,"unzips zips."
,w3m,"is a terminal browser which can also view images."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-djvu,"gives zathura the ability to read .djvu files."
,zathura-pdf-poppler,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used by vifm as well."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,sxhkd,"binds keys in and outside of dwm."
,x11-xkb-utils,"allows LARBS's unique keyboard bindings."
,x11-xserver-utils,"allows LARBS's unique keyboard bindings."
,simple-mtpfs,"enables the mounting of cell phones."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/lukesmithxyz/st.git,"is my custom build of suckless's terminal emulator."
,tabbed,"allows tabbing other programs like the terminal or the browser."
G,https://github.com/lukesmithxyz/surf.git,"is the suckless web browser."
G,https://github.com/lukesmithxyz/dwm.git,"is the window manager."
